"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2010S000048    ",6,Gràcia,28,"Vallcarca i els Penitents",158107,Vallcarca,"0126 0126",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,16,"No és causa del  vianant",Motocicleta,Home,Conductor,40,"Ferit lleu","4585101,95","428509,31"
"2010S000049    ",7,Horta-Guinardó,43,Horta,294105,Salses,"0031 0033",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,17,"No és causa del  vianant",Ciclomotor,Home,Conductor,17,"Ferit lleu","4587394,58","429838,53"
"2010S000050    ",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",123408,Lesseps,"0030 0030",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,17,"No és causa del  vianant",Motocicleta,Dona,Passatger,46,"Ferit lleu","4584399,41","429011,16"
"2010S000051    ",3,Sants-Montjuïc,11,"el Poble Sec",118805,Exposició,"0058 0058",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,17,"No és causa del  vianant",Turismo,Dona,Passatger,24,"Ferit lleu","4580537,56","429839,31"
"2010S000052    ",2,Eixample,10,"Sant Antoni",349207,Universitat,"9999 9999",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,18,"No és causa del  vianant",Motocicleta,Home,Conductor,34,"Ferit lleu","4582102,04","430201,20"
"2010S000053    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",138405,"Gal·la Placídia","0013 0015",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,19,"No és causa del  vianant",Motocicleta,Dona,Conductor,29,"Ferit lleu","4583607,26","429245,91"
"2010S000054    ",1,"Ciutat Vella",2,"el Barri Gòtic",169307,"Josep Anselm Clavé","0031 0031",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,19,"Creuar per fora pas de vianants",Motocicleta,Home,Conductor,29,"Ferit lleu","4581270,84","431392,96"
"2010S000055    ",2,Eixample,7,"la Dreta de l'Eixample",32700,Balmes,"0007 0007",Dilluns,Dl,Laboral,2010,1,Gener,4,Nit,22,"No és causa del  vianant",Motocicleta,Dona,Passatger,34,"Ferit lleu","4582182,80","430398,05"
"2010S000055    ",2,Eixample,7,"la Dreta de l'Eixample",32700,Balmes,"0007 0007",Dilluns,Dl,Laboral,2010,1,Gener,4,Nit,22,"No és causa del  vianant",Motocicleta,Dona,Conductor,23,"Ferit lleu","4582182,80","430398,05"
"2010S000056    ",2,Eixample,7,"la Dreta de l'Eixample",32700,Balmes,"0130 0130",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,20,"No és causa del  vianant",Motocicleta,Home,Conductor,32,"Ferit lleu","4582954,09","429674,94"
"2010S000056    ",2,Eixample,7,"la Dreta de l'Eixample",32700,Balmes,"0130 0130",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,20,"No és causa del  vianant",Motocicleta,Dona,Passatger,20,"Ferit lleu","4582954,09","429674,94"
"2010S000057    ",2,Eixample,7,"la Dreta de l'Eixample",286504,"Roger de Flor","0173 0173",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,21,"Desobeir el senyal del semàfor",Motocicleta,Dona,Passatger,55,"Ferit lleu","4583619,94","430862,46"
"2010S000057    ",2,Eixample,7,"la Dreta de l'Eixample",286504,"Roger de Flor","0173 0173",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,21,"Desobeir el senyal del semàfor",Motocicleta,Home,Vianant,84,"Ferit lleu","4583619,94","430862,46"
"2010S000057    ",2,Eixample,7,"la Dreta de l'Eixample",286504,"Roger de Flor","0173 0173",Dilluns,Dl,Laboral,2010,1,Gener,4,Tarda,21,"Desobeir el senyal del semàfor",Motocicleta,Home,Conductor,54,"Ferit lleu","4583619,94","430862,46"
"2010S000058    ",6,Gràcia,28,"Vallcarca i els Penitents",229908,"Mare de Déu del Coll","0013 0017",Dilluns,Dl,Laboral,2010,1,Gener,4,Nit,23,"No és causa del  vianant",Ciclomotor,Home,Conductor,22,"Ferit lleu","4584661,42","429048,66"
"2010S000059    ",2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0077 0077",Dilluns,Dl,Laboral,2010,1,Gener,4,Nit,22,"No és causa del  vianant",Ciclomotor,Home,Conductor,26,"Ferit lleu","4581374,11","429577,71"
"2010S000061    ",3,Sants-Montjuïc,11,"el Poble Sec",198804,Paral·lel,"0173 0173",Dimarts,Dm,Laboral,2010,1,Gener,5,Nit,02,"No és causa del  vianant",Turismo,Home,Passatger,42,"Ferit lleu","4580914,89","429460,61"
"2010S000061    ",3,Sants-Montjuïc,11,"el Poble Sec",198804,Paral·lel,"0173 0173",Dimarts,Dm,Laboral,2010,1,Gener,5,Nit,02,"No és causa del  vianant",Taxi,Home,Conductor,50,"Ferit lleu","4580914,89","429460,61"
"2010S000062    ",2,Eixample,6,"la Sagrada Família",191204,Mallorca,"0420 0420",Dimarts,Dm,Laboral,2010,1,Gener,5,Nit,02,"No és causa del  vianant",Turismo,Home,Passatger,41,"Ferit lleu","4584067,77","431170,78"
"2010S000063    ",1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Litoral (Llobregat)",001020000,Dimarts,Dm,Laboral,2010,1,Gener,5,Nit,02,"No és causa del  vianant",Turismo,Dona,Passatger,22,"Ferit lleu","4581498,83","431680,73"
"2010S000063    ",1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Litoral (Llobregat)",001020000,Dimarts,Dm,Laboral,2010,1,Gener,5,Nit,02,"No és causa del  vianant",Turismo,Home,Conductor,24,"Ferit lleu","4581498,83","431680,73"
"2010S000063    ",1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Litoral (Llobregat)",001020000,Dimarts,Dm,Laboral,2010,1,Gener,5,Nit,02,"No és causa del  vianant",Turismo,Dona,Passatger,30,"Ferit lleu","4581498,83","431680,73"
"2010S000063    ",1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Litoral (Llobregat)",001020000,Dimarts,Dm,Laboral,2010,1,Gener,5,Nit,02,"No és causa del  vianant",Furgoneta,Home,Conductor,62,"Ferit lleu","4581498,83","431680,73"
"2010S000064    ",9,"Sant Andreu",61,"la Sagrera",209900,Meridiana,"0321 0321",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,07,"No és causa del  vianant",Motocicleta,Dona,Conductor,26,"Ferit lleu","4586533,45","432061,23"
"2010S000065    ",9,"Sant Andreu",61,"la Sagrera",209900,Meridiana,"0323 0323",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,08,"No és causa del  vianant",Furgoneta,Home,Conductor,33,"Ferit lleu","4586538,82","432058,77"
"2010S000065    ",9,"Sant Andreu",61,"la Sagrera",209900,Meridiana,"0323 0323",Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,08,"No és causa del  vianant",Furgoneta,Home,Passatger,30,"Ferit lleu","4586538,82","432058,77"
"2010S000066    ",7,Horta-Guinardó,38,"la Teixonera",701268,"Dalt (Llobregat)",001060000,Dimarts,Dm,Laboral,2010,1,Gener,5,Matí,08,"No és causa del  vianant",Motocicleta,Dona,Conductor,30,"Ferit lleu","4586453,46","428432,21"
