"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2012S005960,4,"Les Corts",41-4-19,"les Corts",125006,Fígols,"0031 0045",Dimarts,2,Laboral,2012,8,Agost,21,08,Matí,Desconegut,0,1,0,1,2,"4581536,47","427349,90"
2012S007321,4,"Les Corts",41-4-19,"les Corts",144601,Diagonal,"0609 0615",Divendres,5,Laboral,2012,10,Octubre,19,11,Matí,Desconegut,0,1,0,1,2,"4582222,93","427159,30"
2012S006762,4,"Les Corts",41-4-19,"les Corts",66508,"Carles III",0080B0080B,Dijous,4,Laboral,2012,9,Setembre,27,09,Matí,Desconegut,0,1,0,1,1,"4581895,68","427058,92"
2012S003435,4,"Les Corts",41-4-19,"les Corts",66508,"Carles III",0080B0080B,Dilluns,1,Laboral,2012,5,Maig,14,08,Matí,Desconegut,0,1,0,1,2,"4581895,68","427058,92"
2012S008974,4,"Les Corts",41-4-19,"les Corts",4307,"Agustina Saragossa",0025X0025X,Dimecres,3,Laboral,2012,12,Desembre,19,14,Tarda,Desconegut,0,1,0,1,2,"4582619,04","427593,23"
2012S006017,4,"Les Corts",41-4-19,"les Corts",144601,Diagonal,"0632 0632",Dijous,4,Laboral,2012,8,Agost,23,19,Tarda,Desconegut,0,1,0,1,2,"4582551,53","427855,84"
2012S005264,4,"Les Corts",41-4-19,"les Corts",144601,Diagonal,"0652 0652",Dijous,4,Laboral,2012,7,Juliol,19,11,Matí,Desconegut,0,2,0,2,3,"4582397,43","427345,61"
2012S001680,4,"Les Corts",41-4-19,"les Corts",278302,"Reina Maria Cristina","9997 9997",Dimecres,3,Laboral,2012,3,Març,7,13,Matí,Desconegut,0,1,0,1,2,"4582228,66","427084,90"
2012S001433,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",66508,"Carles III","0001 0005",Dimarts,2,Laboral,2012,2,Febrer,28,07,Matí,Desconegut,0,1,0,1,2,"4581235,13","427118,98"
2012S004842,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",66508,"Carles III","0021 0025",Dimarts,2,Laboral,2012,7,Juliol,3,18,Tarda,Desconegut,0,2,0,2,2,"4581380,07","427119,46"
2012S005450,4,"Les Corts",41-4-19,"les Corts",110803,Entença,"0282 0282",Dijous,4,Laboral,2012,7,Juliol,26,14,Tarda,Desconegut,0,1,0,1,2,"4582196,98","428098,27"
2012S004768,4,"Les Corts",41-4-19,"les Corts",343903,Corts,"0332 0332",Diumenge,7,Laboral,2012,7,Juliol,1,08,Matí,Desconegut,0,0,0,0,2,"4582304,16","428025,04"
2012S002436,4,"Les Corts",41-4-19,"les Corts",55807,"Francesc Macià","0007 0007",Dimarts,2,Laboral,2012,4,Abril,3,14,Tarda,"Desobeir el senyal del semàfor",0,1,0,1,1,"4582641,63","428426,74"
2012S002308,3,Sants-Montjuïc,34-3-18,Sants,227800,Nicaragua,"0047 0047",Divendres,5,Laboral,2012,3,Març,30,07,Matí,"Creuar per fora pas de vianants",0,1,0,1,1,"4581688,15","428155,41"
2012S002346,4,"Les Corts",41-4-19,"les Corts",110803,Entença,"0338 0338",Divendres,5,Laboral,2012,3,Març,30,20,Tarda,Desconegut,0,0,3,3,2,"4582468,47","427902,88"
2012S002645,4,"Les Corts",41-4-19,"les Corts",320704,Sarrià,"0079 0079",Divendres,5,Laboral,2012,4,Abril,13,19,Tarda,Desconegut,0,1,0,1,2,"4582521,08","428053,57"
2012S003652,4,"Les Corts",41-4-19,"les Corts",320704,Sarrià,"0079 0079",Dilluns,1,Laboral,2012,5,Maig,21,19,Tarda,Desconegut,0,1,0,1,2,"4582521,08","428053,57"
2012S001574,4,"Les Corts",43-4-21,Pedralbes,169023,"Jordi Girona","0004 0004",Dissabte,6,Laboral,2012,3,Març,3,02,Nit,Desconegut,0,0,0,0,7,"4582114,11","425823,76"
2012S009158,4,"Les Corts",43-4-21,Pedralbes,115400,Esplugues,"0027 0027",Dimecres,3,Laboral,2012,12,Desembre,26,13,Matí,Desconegut,0,2,0,2,4,"4581890,95","425072,45"
2012S008851,4,"Les Corts",43-4-21,Pedralbes,115400,Esplugues,"0049 0049",Divendres,5,Laboral,2012,12,Desembre,14,21,Tarda,Desconegut,0,0,0,0,2,"4582154,98","425265,88"
2012S005288,4,"Les Corts",43-4-21,Pedralbes,144601,Diagonal,"0708 0708",Divendres,5,Laboral,2012,7,Juliol,20,09,Matí,Desconegut,0,2,0,2,2,"4581770,77","425469,59"
2012S009256,4,"Les Corts",43-4-21,Pedralbes,701267,"Dalt (Besòs)",0011S0000,Dilluns,1,Laboral,2012,12,Desembre,31,11,Matí,Desconegut,0,2,0,2,3,"4581732,74","424995,59"
2012S001089,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",7258,"Martí i Franquès","0013 0013",Dilluns,1,Laboral,2012,2,Febrer,13,21,Tarda,Desconegut,0,2,0,2,3,"4581721,14","426316,60"
2012S001295,4,"Les Corts",43-4-21,Pedralbes,62507,"Capità Arenas","0029 0029",Dimecres,3,Laboral,2012,2,Febrer,22,14,Tarda,"Desobeir el senyal del semàfor",0,2,0,2,1,"4582560,93","426891,46"
2012S005445,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",144601,Diagonal,"0645 0645",Dijous,4,Laboral,2012,7,Juliol,26,10,Matí,Desconegut,0,1,0,1,2,"4581911,88","426174,59"
2012S005782,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",144601,Diagonal,"0649 0651",Dijous,4,Laboral,2012,8,Agost,9,20,Tarda,"Desobeir el senyal del semàfor",0,3,0,3,1,"4581809,00","425866,31"
2012S004208,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",144601,Diagonal,"0649 0651",Dilluns,1,Laboral,2012,6,Juny,11,19,Tarda,Desconegut,1,0,0,1,2,"4581809,00","425866,31"
2012S004519,4,"Les Corts",43-4-21,Pedralbes,244300,"Pius XII","9998 9998",Divendres,5,Laboral,2012,6,Juny,22,06,Matí,Desconegut,0,0,0,0,1,"4582117,67","426645,57"
2012S002049,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",244300,"Pius XII","0005 0005",Dimarts,2,Laboral,2012,3,Març,20,00,Nit,Desconegut,0,1,0,1,2,"4582039,14","426621,53"
2012S000569,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",187207,Madrid,"0049 0049",Dimecres,3,Laboral,2012,1,Gener,25,16,Tarda,"Desobeir el senyal del semàfor",0,1,0,1,1,"4581037,14","426873,92"
2012S000972,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",66508,"Carles III","0069 0069",Dijous,4,Laboral,2012,2,Febrer,9,21,Tarda,Desconegut,0,1,0,1,2,"4581796,82","427019,05"
2012S003929,4,"Les Corts",42-4-20,"la Maternitat i Sant Ramon",66508,"Carles III","0045 0045",Dijous,4,Laboral,2012,5,Maig,31,19,Tarda,Desconegut,0,1,0,1,2,"4581577,23","427069,54"
2012S008964,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",222501,Moià,"0018 0018",Dimecres,3,Laboral,2012,12,Desembre,19,09,Matí,Desconegut,0,1,0,1,2,"4582937,35","429043,18"
2012S006265,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",28000,Augusta,"0005 0005",Dimarts,2,Laboral,2012,9,Setembre,4,23,Nit,Desconegut,0,2,0,2,2,"4583082,26","429375,88"
2012S004975,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",32700,Balmes,0170B0170B,Diumenge,7,Laboral,2012,7,Juliol,8,05,Nit,Desconegut,0,0,0,0,2,"4583024,45","429316,31"
2012S005169,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",223606,Muntaner,"0307 0307",Diumenge,7,Laboral,2012,7,Juliol,15,16,Tarda,Desconegut,0,0,0,0,2,"4583171,81","428578,51"
2012S005790,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",32700,Balmes,"0232 0232",Divendres,5,Laboral,2012,8,Agost,10,02,Nit,Desconegut,0,1,0,1,2,"4583406,32","429014,44"
2012S003657,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",246805,"Rector Ubach","0019 0019",Dilluns,1,Laboral,2012,5,Maig,21,20,Tarda,Desconegut,0,1,0,1,2,"4583351,00","428463,29"
2012S008177,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",32700,Balmes,"0273 0273",Dimecres,3,Laboral,2012,11,Novembre,21,19,Tarda,Desconegut,0,2,0,2,2,"4583578,66","428800,09"
2012S000710,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",28000,Augusta,"0133 0135",Dimarts,2,Laboral,2012,1,Gener,31,15,Tarda,Desconegut,0,1,0,1,2,"4583480,60","428510,02"
2012S009172,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",28000,Augusta,"0149 0149",Dijous,4,Laboral,2012,12,Desembre,27,11,Matí,Desconegut,0,1,0,1,1,"4583423,94","428441,62"
2012S006346,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",144601,Diagonal,"0488 0488",Dissabte,6,Laboral,2012,9,Setembre,8,17,Tarda,Desconegut,0,1,0,1,2,"4583020,08","429354,09"
2012S002076,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",179708,Lincoln,"0020 0020",Dimecres,3,Laboral,2012,3,Març,21,09,Matí,Desconegut,0,1,0,1,2,"4583598,31","428912,71"
2012S007497,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",344101,Gràcia,"0026 0026",Dijous,4,Laboral,2012,10,Octubre,25,20,Tarda,Desconegut,0,1,0,1,2,"4582895,55","428700,75"
2012S006091,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",28000,Augusta,"0159 0159",Dimarts,2,Laboral,2012,8,Agost,28,07,Matí,Desconegut,0,1,0,1,2,"4583368,46","428369,61"
2012S000613,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",28000,Augusta,"0159 0159",Dijous,4,Laboral,2012,1,Gener,26,17,Tarda,Desconegut,0,1,0,1,1,"4583368,46","428369,61"
2012S000249,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",23403,Aribau,"0197 0199",Dijous,4,Laboral,2012,1,Gener,12,10,Matí,Desconegut,0,1,0,1,5,"4583011,18","428921,08"
2012S003757,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",344101,Gràcia,"0092 0092",Divendres,5,Laboral,2012,5,Maig,25,08,Matí,Desconegut,0,0,0,0,2,"4583313,36","429204,79"
2012S000156,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",264206,Avenir,"0031 0031",Divendres,5,Laboral,2012,1,Gener,6,13,Matí,Desconegut,0,0,0,0,5,"4583081,91","428728,28"
2012S004369,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",318804,Santaló,"0090 0090",Dissabte,6,Laboral,2012,6,Juny,16,17,Tarda,Desconegut,0,1,0,1,2,"4583270,31","428379,94"
2012S003336,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",344101,Gràcia,"0071 0071",Dijous,4,Laboral,2012,5,Maig,10,14,Tarda,Desconegut,0,1,0,1,2,"4583163,31","428993,99"
2012S007267,5,"Sarrià-Sant Gervasi",51-5-26,"Sant Gervasi - Galvany",55603,Calvet,"0016 0022",Dimecres,3,Laboral,2012,10,Octubre,17,10,Matí,Desconegut,0,1,0,1,2,"4582834,87","428496,39"
