Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal_caption;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_tipus_accident;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2020S004325    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;28000;Augusta;0168 0168;Dilluns;Dl;Laboral;2020;9;Setembre;21;17;Tarda;Col.lisió lateral;428480,07;4583621,63;21.432.967;41.399.106.668
2020S004326    ;2;Eixample;9;la Nova Esquerra de l'Eixample;18505;Aragó;0101 0103;Dilluns;Dl;Laboral;2020;9;Setembre;21;17;Tarda;Abast;429175,89;4581770,69;2.151.836.329;41.382.497.521
2020S004327    ;8;Nou Barris;48;la Guineueta;351901;Valldaura;0175X0175X;Dilluns;Dl;Laboral;2020;9;Setembre;21;17;Tarda;Col.lisió lateral;430982,61;4588001,86;2.172.730.938;41.438.776.713
2020S004328    ;2;Eixample;7;la Dreta de l'Eixample;32700;Balmes;0112 0112;Dilluns;Dl;Laboral;2020;9;Setembre;21;19;Tarda;Atropellament;429726,36;4582901,99;2.158.287.827;41.392.735.065
2020S004328    ;2;Eixample;7;la Dreta de l'Eixample;32700;Balmes;0112 0112;Dilluns;Dl;Laboral;2020;9;Setembre;21;19;Tarda;Col.lisió lateral;429726,36;4582901,99;2.158.287.827;41.392.735.065
2020S004329    ;2;Eixample;7;la Dreta de l'Eixample;148307;Gràcia;0092 0092;Dilluns;Dl;Laboral;2020;9;Setembre;21;18;Tarda;Col.lisió fronto-lateral;430003,01;4583178,76;2.161.564.665;4.139.525.198
2020S004330    ;4;Les Corts;19;les Corts;144601;Diagonal;0579 0587;Dilluns;Dl;Laboral;2020;9;Setembre;21;18;Tarda;Atropellament;427557,22;4582526,09;2.132.389.155;41.389.156.919
2020S004331    ;4;Les Corts;19;les Corts;66508;Carles III;0080B0080B;Dilluns;Dl;Laboral;2020;9;Setembre;21;19;Tarda;Abast;427152,85;4582100,33;2.127.604.255;41.385.285.729
2020S004332    ;2;Eixample;6;la Sagrada Família;178308;Lepant;0238 0242;Dilluns;Dl;Laboral;2020;9;Setembre;21;18;Tarda;Xoc contra element estàtic;431496,5;4583977,6;2.179.337.727;41.402.575.574
2020S004333    ;9;Sant Andreu;62;el Congrés i els Indians;121402;Felip II;0183 0183;Dilluns;Dl;Laboral;2020;9;Setembre;21;13;Matí;Atropellament;431637,94;4586454,17;2.180.749.667;41.424.893.299
2020S004334    ;4;Les Corts;20;la Maternitat i Sant Ramon;244209;Joan XXIII;0001 0001;Dimarts;Dm;Laboral;2020;9;Setembre;22;8;Matí;Col.lisió fronto-lateral;426451,5;4581657,08;2.119.270.698;41.381.229.711
2020S004335    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0265 0265;Dimarts;Dm;Laboral;2020;9;Setembre;22;8;Matí;Abast;430312,01;4582890,33;2.165.293.786;41.392.681.035
2020S004336    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0377 0377;Dimarts;Dm;Laboral;2020;9;Setembre;22;9;Matí;Abast;430986,11;4583550,99;2.173.280.973;41.398.689.557
