Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S002704    ,4,Les Corts,21,Pedralbes,701267,Dalt (Llobregat)                                  ,620000,Dissabte,Ds,Laboral,2019,4,Abril,6,6,Matí,No és causa del  vianant,0,1,0,1,1,"425740,75","4583198,17",2.110491820411111,41.39506618091508
2019S002705    ,5,Sarrià-Sant Gervasi,23,Sarrià,701267,Dalt (Llobregat)                                  ,700000,Dissabte,Ds,Laboral,2019,4,Abril,6,8,Matí,No és causa del  vianant,0,12,0,12,6,"426062,63","4583917,33",2.1142537376485158,41.40157295420852
2019S002706    ,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal                                          ,0645 0645,Dissabte,Ds,Laboral,2019,4,Abril,6,10,Matí,No és causa del  vianant,0,3,0,3,2,"426268,3","4582116,22",2.1169334936415125,41.38537024656697
2019S002707    ,6,Gràcia,30,la Salut,203904,Dalt / Massens                                    ,0080 0084,Dissabte,Ds,Laboral,2019,4,Abril,6,10,Matí,No és causa del  vianant,0,1,0,1,2,"429508,74","4584766,49",2.155376491372794,41.40953090245319
2019S002708    ,9,Sant Andreu,63,Navas,224100,Múrcia / Biscaia                                  ,0023 0027,Dissabte,Ds,Laboral,2019,4,Abril,6,10,Matí,No és causa del  vianant,0,1,0,1,2,"432330,35","4585419,75",2.1890593753447845,41.41565741318092
2019S002709    ,8,Nou Barris,53,la Trinitat Nova,209900,Meridiana / Llosa                                 ,0603X0603X,Dissabte,Ds,Laboral,2019,4,Abril,6,10,Matí,No és causa del  vianant,0,1,0,1,2,"432268,59","4589141,34",2.1879027739752734,41.44917093653589
2019S002710    ,1,Ciutat Vella,2,el Barri Gòtic,74404,Catalunya / Rambla                                ,0023 0023,Dissabte,Ds,Laboral,2019,4,Abril,6,12,Matí,No és causa del  vianant,0,1,0,1,2,"430730,38","4582093,74",2.170297636125281,41.385564938768994
2019S002711    ,10,Sant Martí,72,Sant Martí de Provençals,86200,Concili de Trento                                 ,0123 0123,Dissabte,Ds,Laboral,2019,4,Abril,6,14,Tarda,No és causa del  vianant,0,0,0,0,2,"433024,86","4585402,56",2.1973707972752403,41.41556086082736
2019S002712    ,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,701268,B-20 (Besòs)                                      ,850000,Dissabte,Ds,Laboral,2019,4,Abril,6,14,Tarda,No és causa del  vianant,0,2,0,2,2,"427143,16","4584946,47",2.1270547270387787,41.41094064321156
2019S002713    ,3,Sants-Montjuïc,11,el Poble-sec,329902,Tamarit                                           ,0068 0068,Dissabte,Ds,Laboral,2019,4,Abril,6,16,Tarda,No és causa del  vianant,0,1,0,1,2,"429416,72","4580812,87",2.154737041609612,41.3739143388854
