"Codi d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ causa vianant","Descripci¢ tipus de vehicle","Descripci¢ model","Descripci¢ marca","Descripci¢ color","Descripci¢ carnet","Antiguitat carnet","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S000427,4,"Les Corts",21,Pedralbes,144601,Diagonal,"0694 0696",Dissabte,Ds,Laboral,2013,1,Gener,19,9,"No ‚s causa del  vianant",Taxi,Altea,SEAT,Desconegut,BTP,4,"4582083,33","425819,56"
2013S000565,4,"Les Corts",21,Pedralbes,213806,"Miret i Sans","0038 0038",Dijous,Dj,Laboral,2013,1,Gener,24,6,"No ‚s causa del  vianant",Autocar,Desconegut,SCANIA,Altres,"E D",16,"4582969,47","425611,62"
2013S000571,10,"Sant Mart¡",71,"Proven‡als del Poblenou",249304,"Pere IV","0511 0511",Dijous,Dj,Laboral,2013,1,Gener,24,11,"No ‚s causa del  vianant",Ciclomotor,"RS 2",RIEJU,Blau,LlicŠncia,5,"4585684,9","434031,79"
2013S006176,2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9998 9998",Diumenge,Dg,Laboral,2013,9,Setembre,1,7,"No ‚s causa del  vianant",Taxi,CADDY,VOLKSWAGEN,Altres,BTP,8,"4582424,87","430448,19"
2013S006307,10,"Sant Mart¡",69,"Diagonal Mar i el Front Mar¡tim del Poblenou",143609,"Josep Pla","0002 0020",Dijous,Dj,Laboral,2013,9,Setembre,5,21,"No ‚s causa del  vianant",Turismo,A4,AUDI,Gris,B,5,"4584476,07","434736,15"
2013S006616,3,Sants-Montju‹c,15,Hostafrancs,94809,"Creu Coberta","0143 0143",Dimecres,Dc,Laboral,2013,9,Setembre,18,20,"No ‚s causa del  vianant","Todo terreno","ML 280",MERCEDES,Gris,B,43,"4580968,63","428255,59"
2013S006744,3,Sants-Montju‹c,14,"la Font de la Guatlla",169409,"Corts Catalanes","0218 0218",Dilluns,Dl,Laboral,2013,9,Setembre,23,19,"No ‚s causa del  vianant",Turismo,A6,AUDI,Gris,B,5,"4580326,06","428347,56"
2013S006745,5,"Sarri…-Sant Gervasi",24,"les Tres Torres",143904,"General Mitre","0049 0051",Dilluns,Dl,Laboral,2013,9,Setembre,23,21,"No ‚s causa del  vianant",Motocicleta,"SH 125",HONDA,Desconegut,B,10,"4583242,9","427678,8"
2013S006307,10,"Sant Mart¡",69,"Diagonal Mar i el Front Mar¡tim del Poblenou",143609,"Josep Pla","0002 0020",Dijous,Dj,Laboral,2013,9,Setembre,5,21,"No ‚s causa del  vianant",Turismo,A3,AUDI,Negre,B,4,"4584476,07","434736,15"
2013S006448,10,"Sant Mart¡",67,"la Vila Ol¡mpica del Poblenou",110009,"Ramon Turr¢",0003B0003B,Dijous,Dj,Laboral,2013,9,Setembre,12,12,"No ‚s causa del  vianant",Ciclomotor,"LIBERTY 50",PIAGGIO,Negre,AM,7,"4582653,55","432406,46"
2013S006450,6,Gr…cia,28,"Vallcarca i els Penitents",336500,Tici…,"0049 0049",Dijous,Dj,Laboral,2013,9,Setembre,12,11,"No ‚s causa del  vianant",Turismo,MATIZ,DAEWOO,Daurat,B,45,"4585723,47","427978,26"
2013S000809,10,"Sant Mart¡",69,"Diagonal Mar i el Front Mar¡tim del Poblenou",30409,"Bac de Roda",0001X0001X,Dissabte,Ds,Laboral,2013,2,Febrer,2,0,"No ‚s causa del  vianant",Turismo,CRV,HONDA,Blanc,B,10,"4583868,03","434162,42"
2013S000935,9,"Sant Andreu",60,"Sant Andreu",209900,Meridiana,"0600 0602",Dimecres,Dc,Laboral,2013,2,Febrer,6,20,"No ‚s causa del  vianant",Turismo,"A 140",MERCEDES,Gris,B,24,"4588512,71","432185,43"
2013S000939,3,Sants-Montju‹c,13,"la Marina de Port",160903,"Ildefons Cerd…",0001V0001V,Dimecres,Dc,Laboral,2013,2,Febrer,6,22,"No ‚s causa del  vianant",Motocicleta,"UH 125",SUZUKI,Negre,B,13,"4579817,43","427840,47"
2013S000939,3,Sants-Montju‹c,13,"la Marina de Port",160903,"Ildefons Cerd…",0001V0001V,Dimecres,Dc,Laboral,2013,2,Febrer,6,22,"No ‚s causa del  vianant",Motocicleta,"SH 125",HONDA,Negre,B,20,"4579817,43","427840,47"
2013S000941,2,Eixample,8,"l'Antiga Esquerra de l'Eixample",223606,Muntaner,"0149 0149",Dimecres,Dc,Laboral,2013,2,Febrer,6,22,"No ‚s causa del  vianant",Motocicleta,YY125,YIYING,Taronja,B,5,"4582699,82","429331,96"
2013S000941,2,Eixample,8,"l'Antiga Esquerra de l'Eixample",223606,Muntaner,"0149 0149",Dimecres,Dc,Laboral,2013,2,Febrer,6,22,"No ‚s causa del  vianant",Turismo,A3,AUDI,Blau,B,21,"4582699,82","429331,96"
2013S000699,7,Horta-Guinard¢,43,Horta,262903,Porrera,"0009 0009",Dimarts,Dm,Laboral,2013,1,Gener,29,11,"No ‚s causa del  vianant",Turismo,QASHQAI,NISSAN,Verd,B,15,"4587858,6","429834,42"
2013S000700,3,Sants-Montju‹c,11,"el Poble Sec",329902,Tamarit,"0074 0074",Dimarts,Dm,Laboral,2013,1,Gener,29,13,"No ‚s causa del  vianant",Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4580832,95","429437,71"
