"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ causa mediata","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S000752,2,Eixample,10,"Sant Antoni",169409,"Corts Catalanes","0426 0426",Divendres,Dv,Laboral,2011,2,Febrer,4,16,Tarda,"No hi ha causa mediata","4581221,22","429268,68"
2011S007430,2,Eixample,10,"Sant Antoni",323203,Sep£lveda,"0049 0049",Divendres,Dv,Laboral,2011,11,Novembre,4,18,Tarda,"No hi ha causa mediata","4581210,58","429411,05"
2011S008441,2,Eixample,10,"Sant Antoni",114000,Espanya,"0001 0001",Divendres,Dv,Laboral,2011,12,Desembre,16,8,Mat°,"No hi ha causa mediata","4580985,15","429044,34"
2011S006514,2,Eixample,10,"Sant Antoni",114000,Espanya,"0001 0001",Dijous,Dj,Laboral,2011,9,Setembre,29,9,Mat°,"No hi ha causa mediata","4580985,15","429044,34"
2011S005998,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",175106,Jonqueres,"0002 0002",Dilluns,Dl,Laboral,2011,9,Setembre,12,1,Nit,Alcoholämia,"4582318,54","431071,58"
2011S004807,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",177101,Laietana,"0054 0054",Dimecres,Dc,Laboral,2011,7,Juliol,13,20,Tarda,"No hi ha causa mediata","4582281,83","431090,19"
2011S002497,2,Eixample,10,"Sant Antoni",198804,Paral˙lel,"0182 0182",Dilluns,Dl,Laboral,2011,4,Abril,11,18,Tarda,"No hi ha causa mediata","4580958,31","429332,4"
2011S004652,2,Eixample,10,"Sant Antoni",198804,Paral˙lel,0194B0194B,Dijous,Dj,Laboral,2011,7,Juliol,7,19,Tarda,"No hi ha causa mediata","4580974,39","429142,73"
2011S003305,2,Eixample,10,"Sant Antoni",198804,Paral˙lel,0194B0194B,Dilluns,Dl,Laboral,2011,5,Maig,16,15,Tarda,"No hi ha causa mediata","4580974,39","429142,73"
2011S003912,2,Eixample,10,"Sant Antoni",169409,"Corts Catalanes","0444 0446",Dimecres,Dc,Laboral,2011,6,Juny,8,13,Mat°,"No hi ha causa mediata","4581311,37","429354,1"
2011S004534,2,Eixample,10,"Sant Antoni",198804,Paral˙lel,"0180 0180",Diumenge,Dg,Laboral,2011,7,Juliol,3,3,Nit,"No hi ha causa mediata","4580957,01","429407,17"
2011S000056,2,Eixample,10,"Sant Antoni",362001,Vilamar°,"0023 0023",Dimarts,Dm,Laboral,2011,1,Gener,4,19,Tarda,"No hi ha causa mediata","4581068,04",429244
