"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2014S000169,2,Eixample,24-2-7,"la Dreta de l'Eixample",309406,"Sant Pere","0028 0030",Dijous,4,Laboral,2014,1,Gener,9,19,Tarda,Desconegut,0,1,0,1,2,"4582521,91","431073,66"
2014S000022,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0278 0278",Dijous,4,Laboral,2014,1,Gener,2,12,Matí,Desconegut,0,1,0,1,2,"4582861,84","430328,62"
2014S005423,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0286 0286",Dimarts,2,Laboral,2014,7,Juliol,22,09,Matí,Desconegut,0,1,0,1,3,"4582966,03","430434,86"
2014S006072,2,Eixample,24-2-7,"la Dreta de l'Eixample",89004,"Consell de Cent","0326 0326",Dijous,4,Laboral,2014,8,Agost,21,00,Nit,Desconegut,0,1,0,1,2,"4582836,00","430485,10"
2014S005928,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0372 0372",Dimecres,3,Laboral,2014,8,Agost,13,13,Matí,Desconegut,0,1,0,1,2,"4583441,97","430920,25"
2014S006660,2,Eixample,24-2-7,"la Dreta de l'Eixample",18505,Aragó,"0406 0408",Dimecres,3,Laboral,2014,9,Setembre,17,08,Matí,Desconegut,0,1,0,1,2,"4583577,24","431058,40"
2014S001027,2,Eixample,24-2-7,"la Dreta de l'Eixample",89004,"Consell de Cent","0369 0369",Dilluns,1,Laboral,2014,2,Febrer,10,14,Tarda,Desconegut,0,2,0,2,2,"4582942,96","430563,08"
2014S006674,2,Eixample,24-2-7,"la Dreta de l'Eixample",100800,Diputació,"0275 0277",Dimecres,3,Laboral,2014,9,Setembre,17,16,Tarda,Desconegut,0,2,0,2,2,"4582722,07","430528,12"
2014S006357,2,Eixample,24-2-7,"la Dreta de l'Eixample",305100,"Sant Joan","0068 0070",Dimecres,3,Laboral,2014,9,Setembre,3,21,Tarda,Desconegut,0,1,0,1,2,"4583368,06","430971,91"
2014S007075,2,Eixample,24-2-7,"la Dreta de l'Eixample",176801,"Roger de Llúria","0058 0058",Dijous,4,Laboral,2014,10,Octubre,2,17,Tarda,Desconegut,0,1,0,1,2,"4582936,90","430625,11"
2014S004674,2,Eixample,24-2-7,"la Dreta de l'Eixample",71600,Casp,"0056 0058",Dimecres,3,Laboral,2014,6,Juny,25,10,Matí,Desconegut,0,1,0,1,2,"4582767,83","431032,99"
2014S004131,2,Eixample,24-2-7,"la Dreta de l'Eixample",71600,Casp,"0056 0058",Dijous,4,Laboral,2014,6,Juny,5,09,Matí,Desconegut,0,1,0,1,2,"4582767,83","431032,99"
2014S005254,2,Eixample,24-2-7,"la Dreta de l'Eixample",225500,Nàpols,"0183 0183",Dimarts,2,Laboral,2014,7,Juliol,15,22,Nit,Desconegut,0,2,0,2,2,"4583491,16","431168,22"
2014S004594,2,Eixample,24-2-7,"la Dreta de l'Eixample",247659,"Pau Claris","0119 0119",Divendres,5,Laboral,2014,6,Juny,20,16,Tarda,Desconegut,0,2,0,2,2,"4582835,60","430506,02"
2014S006831,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0647 0647",Dimarts,2,Laboral,2014,9,Setembre,23,15,Tarda,Desconegut,0,1,1,2,2,"4582887,01","430889,07"
2014S008472,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0655 0655",Dimarts,2,Laboral,2014,11,Novembre,18,18,Tarda,Desconegut,0,1,0,1,2,"4582939,91","430943,38"
2014S008151,2,Eixample,24-2-7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0655 0655",Dijous,4,Laboral,2014,11,Novembre,6,20,Tarda,Desconegut,0,1,0,1,2,"4582939,91","430943,38"
2014S005280,2,Eixample,24-2-7,"la Dreta de l'Eixample",74506,Catalunya,"0030 0032",Dimecres,3,Laboral,2014,7,Juliol,16,16,Tarda,Desconegut,0,1,0,1,2,"4582562,16","430331,62"
