"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2011S007796    ",2,Eixample,6,"la Sagrada Família",68900,Cartagena,"0245 0245",Divendres,Dv,Laboral,2011,11,Novembre,18,Matí,13,"No és causa del  vianant",Turismo,Home,Conductor,62,"Ferit lleu","4584579,74","431418,19"
"2011S007799    ",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",369306,Saragossa,"0151 0151",Divendres,Dv,Laboral,2011,11,Novembre,18,Matí,11,"No és causa del  vianant",Turismo,Home,Vianant,85,"Ferit lleu","4584304,98","428569,75"
"2011S007826    ",10,"Sant Martí",73,"la Verneda i la Pau",15201,Andrade,"0220 0220",Dissabte,Ds,Laboral,2011,11,Novembre,19,Tarda,15,"No és causa del  vianant",Turismo,Dona,Passatger,7,"Ferit lleu","4585737,92","433644,95"
"2011S007827    ",4,"Les Corts",19,"les Corts",352904,Vallespir,"0105 0115",Dissabte,Ds,Laboral,2011,11,Novembre,19,Tarda,17,"No és causa del  vianant",Ciclomotor,Dona,Conductor,27,"Ferit lleu","4581721,05","427790,69"
"2011S008293    ",6,Gràcia,28,"Vallcarca i els Penitents",701268,"Dalt (Llobregat)",000980000,Divendres,Dv,Laboral,2011,12,Desembre,9,Tarda,21,"No és causa del  vianant",Turismo,Dona,Conductor,25,"Ferit lleu","4585701,70","428141,26"
"2011S008294    ",3,Sants-Montjuïc,14,"la Font de la Guatlla",301608,"Sant Fructuós",0086B0086B,Divendres,Dv,Laboral,2011,12,Desembre,9,Tarda,21,"No és causa del  vianant",Turismo,Dona,Conductor,26,"Ferit lleu","4580309,23","428414,85"
"2011S008296    ",2,Eixample,6,"la Sagrada Família",350308,València,"0479 0483",Divendres,Dv,Laboral,2011,12,Desembre,9,Nit,23,"No és causa del  vianant",Motocicleta,Home,Conductor,54,"Ferit lleu","4584165,40","431431,26"
"2011S007303    ",10,"Sant Martí",71,"Provençals del Poblenou",322608,"Selva de Mar","0142 0142",Divendres,Dv,Laboral,2011,10,Octubre,28,Tarda,17,"No és causa del  vianant",Turismo,Home,Passatger,30,"Ferit lleu","4585204,22","433465,96"
"2011S007317    ",6,Gràcia,31,"la Vila de Gràcia",206403,"Gran de Gràcia","0120 0120",Dissabte,Ds,Laboral,2011,10,Octubre,29,Tarda,21,"No és causa del  vianant",Autobús,Home,Passatger,24,"Ferit lleu","4583856,82","429366,83"
"2011S007317    ",6,Gràcia,31,"la Vila de Gràcia",206403,"Gran de Gràcia","0120 0120",Dissabte,Ds,Laboral,2011,10,Octubre,29,Tarda,21,"No és causa del  vianant",Autobús,Home,Passatger,70,"Ferit lleu","4583856,82","429366,83"
"2011S007322    ",9,"Sant Andreu",60,"Sant Andreu",209900,Meridiana,"0450 0454",Diumenge,Dg,Laboral,2011,10,Octubre,30,Matí,06,"No és causa del  vianant",Turismo,Home,Conductor,24,"Ferit lleu","4587484,69","431930,14"
"2011S007325    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",44709,Bonanova,"0043 0043",Diumenge,Dg,Laboral,2011,10,Octubre,30,Matí,12,"No és causa del  vianant",Motocicleta,Dona,Conductor,43,"Ferit lleu","4584234,01","427365,07"
"2011S007848    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",701268,"Dalt (Llobregat)",000850000,Diumenge,Dg,Laboral,2011,11,Novembre,20,Tarda,16,"No és causa del  vianant",Motocicleta,Home,Conductor,28,"Ferit lleu","4584946,47","427143,16"
"2011S008325    ",6,Gràcia,30,"la Salut",344000,Dalt,"0097 0099",Diumenge,Dg,Laboral,2011,12,Desembre,11,Tarda,15,"No és causa del  vianant",Motocicleta,Dona,Conductor,36,"Ferit lleu","4584956,47","429662,46"
"2011S008328    ",7,Horta-Guinardó,37,"el Carmel",320307,Santuari,0096X0096X,Diumenge,Dg,Laboral,2011,12,Desembre,11,Tarda,18,"No és causa del  vianant",Turismo,Home,Conductor,25,"Ferit lleu","4585834,40","429634,54"
"2011S006808    ",3,Sants-Montjuïc,11,"el Poble Sec",701266,"Litoral (Llobregat)",001300000,Dilluns,Dl,Laboral,2011,10,Octubre,10,Matí,09,"No és causa del  vianant",Taxi,Home,Passatger,31,"Ferit lleu","4579432,98","430515,24"
"2011S006828    ",8,"Nou Barris",49,Canyelles,701267,"Dalt (Besòs)",001320000,Dilluns,Dl,Laboral,2011,10,Octubre,10,Tarda,17,"No és causa del  vianant",Taxi,Home,Passatger,51,"Ferit lleu","4588159,76","430073,98"
"2011S008346    ",9,"Sant Andreu",60,"Sant Andreu",95109,Cuba,"0002 0004",Dilluns,Dl,Laboral,2011,12,Desembre,12,Tarda,17,"No és causa del  vianant",Turismo,Dona,Vianant,59,"Ferit lleu","4587007,04","432293,83"
"2011S008361    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",350308,València,"0190 0190",Dimarts,Dm,Laboral,2011,12,Desembre,13,Matí,09,"No és causa del  vianant",Motocicleta,Home,Conductor,31,"Ferit lleu","4582368,35","429626,63"
"2011S008375    ",10,"Sant Martí",71,"Provençals del Poblenou",249304,"Pere IV","0417 0421",Dimarts,Dm,Laboral,2011,12,Desembre,13,Tarda,19,"No és causa del  vianant",Turismo,Dona,Passatger,22,"Ferit lleu","4585200,49","433720,48"
"2011S006845    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",11200,Almogàvers,"0207 0209",Dimarts,Dm,Laboral,2011,10,Octubre,11,Matí,11,"No és causa del  vianant",Ciclomotor,Home,Conductor,32,"Ferit lleu","4583838,68","432862,24"
