Número d expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció torn;Descripció causa vianant;Número de morts;Número de lesionats lleus;Número de lesionats greus;Número de víctimes;Número de vehicles implicats;Coordenada UTM (Y);Coordenada UTM (X)
2015S006120;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18607;Aragó;0001 0002;Dilluns;Dl;Laboral;2015;8;Agost;10;07;Matí;No és causa del  vianant;0;1;0;1;2;4582143,52;429617,10
2015S001000;2;Eixample;8;l'Antiga Esquerra de l'Eixample;23403;Aribau;0095 0095;Dilluns;Dl;Laboral;2015;2;Febrer;9;13;Matí;No és causa del  vianant;0;1;0;1;2;4582610,43;429606,47
2015S009759;2;Eixample;8;l'Antiga Esquerra de l'Eixample;350308;València;0191 0191;Dimarts;Dm;Laboral;2015;12;Desembre;22;17;Tarda;No és causa del  vianant;0;1;0;1;3;4582536,58;429767,07
2015S003224;2;Eixample;8;l'Antiga Esquerra de l'Eixample;350308;València;0207 0207;Dimarts;Dm;Laboral;2015;4;Abril;28;18;Tarda;No és causa del  vianant;0;1;0;1;2;4582622,55;429854,71
2015S007451;2;Eixample;8;l'Antiga Esquerra de l'Eixample;-1;Desconegut;Desconegut;Dilluns;Dl;Laboral;2015;10;Octubre;5;09;Matí;No és causa del  vianant;0;1;0;1;2;-1;-1
2015S007276;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18505;Aragó;0191 0191;Dimarts;Dm;Laboral;2015;9;Setembre;29;07;Matí;No és causa del  vianant;0;1;0;1;2;4582354,53;429765,44
2015S008681;2;Eixample;8;l'Antiga Esquerra de l'Eixample;18505;Aragó;0207 0207;Dimarts;Dm;Laboral;2015;11;Novembre;17;19;Tarda;No és causa del  vianant;0;2;0;2;2;4582434,03;429846,46
2015S009527;2;Eixample;8;l'Antiga Esquerra de l'Eixample;23403;Aribau;0051 0051;Dimarts;Dm;Laboral;2015;12;Desembre;15;09;Matí;No és causa del  vianant;0;1;0;1;2;4582410,58;429801,48
2015S006591;2;Eixample;8;l'Antiga Esquerra de l'Eixample;23403;Aribau;0058 0058;Dimarts;Dm;Laboral;2015;9;Setembre;1;20;Tarda;No és causa del  vianant;0;1;0;1;2;4582429,80;429813,13
2015S009997;2;Eixample;8;l'Antiga Esquerra de l'Eixample;89004;Consell de Cent;0231 0231;Dijous;Dj;Laboral;2015;12;Desembre;31;12;Matí;No és causa del  vianant;0;1;0;1;2;4582102,30;429705,62
2015S008787;2;Eixample;8;l'Antiga Esquerra de l'Eixample;89004;Consell de Cent;0231 0231;Divendres;Dv;Laboral;2015;11;Novembre;20;17;Tarda;No és causa del  vianant;0;1;0;1;2;4582102,30;429705,62
2015S004796;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;0063 0063;Diumenge;Dg;Laboral;2015;6;Juny;21;13;Matí;No és causa del  vianant;0;1;0;1;2;4582602,11;429988,27
2015S006961;2;Eixample;8;l'Antiga Esquerra de l'Eixample;289105;Rosselló;0166 0166;Dimecres;Dc;Laboral;2015;9;Setembre;16;14;Tarda;No és causa del  vianant;0;1;0;1;2;4582800,36;429494,94
2015S001424;2;Eixample;8;l'Antiga Esquerra de l'Eixample;23403;Aribau;0005 0005;Dimarts;Dm;Laboral;2015;2;Febrer;24;14;Tarda;No és causa del  vianant;0;1;0;1;2;4582145,92;430060,26
2015S008984;2;Eixample;8;l'Antiga Esquerra de l'Eixample;287201;Roma;0153 0153;Divendres;Dv;Laboral;2015;11;Novembre;27;10;Matí;No és causa del  vianant;0;1;0;1;1;4582254,08;429644,81
