"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S007725,2,Eixample,24-2-7,"la Dreta de l'Eixample",144601,Diagonal,0311B0311B,Dimarts,2,Laboral,2011,11,Novembre,15,20,Tarda,Desconegut,0,1,0,1,2,"4583446,55","430844,44"
2011S005849,2,Eixample,24-2-7,"la Dreta de l'Eixample",144601,Diagonal,"0313 0315",Dilluns,1,Laboral,2011,9,Setembre,5,13,Matí,Desconegut,0,1,0,1,2,"4583417,65","430755,12"
2011S003192,2,Eixample,24-2-7,"la Dreta de l'Eixample",286504,"Roger de Flor","0173 0173",Dimecres,3,Laboral,2011,5,Maig,11,18,Tarda,Desconegut,0,2,0,2,2,"4583415,72","430768,71"
2011S004548,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",363809,Villarroel,"0129 0129",Dilluns,1,Laboral,2011,7,Juliol,4,08,Matí,Desconegut,0,4,0,4,2,"4582011,63","429331,30"
2011S003453,2,Eixample,24-2-7,"la Dreta de l'Eixample",144601,Diagonal,"0358 0358",Dissabte,6,Laboral,2011,5,Maig,21,21,Tarda,Desconegut,0,1,0,1,2,"4583480,35","430781,68"
2011S007332,2,Eixample,24-2-7,"la Dreta de l'Eixample",305100,"Sant Joan","0094 0094",Dilluns,1,Laboral,2011,10,Octubre,31,10,Matí,Desconegut,0,1,0,1,3,"4583354,58","430691,46"
2011S008437,2,Eixample,24-2-7,"la Dreta de l'Eixample",222002,"Mossèn Jacint Verdaguer","9999 9999",Dijous,4,Laboral,2011,12,Desembre,15,20,Tarda,Desconegut,0,1,0,1,2,"4583390,02","430612,63"
2011S006784,2,Eixample,24-2-7,"la Dreta de l'Eixample",31300,Bailèn,"0131 0131",Dissabte,6,Laboral,2011,10,Octubre,8,14,Tarda,Desconegut,0,1,0,1,2,"4583320,99","430486,72"
2011S004054,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",32700,Balmes,"0099 0099",Dimarts,2,Laboral,2011,6,Juny,14,13,Matí,Desconegut,0,1,0,1,2,"4582584,02","429712,67"
2011S007536,2,Eixample,23-2-8,"l'Antiga Esquerra de l'Eixample",169409,"Corts Catalanes","0585 0585",Dimecres,3,Laboral,2011,11,Novembre,9,14,Tarda,Desconegut,0,1,0,1,2,"4582005,96","430104,60"
