,NUMERO EXPEDIENTE,TIPO ACCIDENTE
521,2011S008185,Col.lisió fronto-lateral
522,2011S005965,Abast
523,2011S004405,Abast
524,2011S006042,Col.lisió lateral
525,2011S005694,Xoc contra element estàtic
526,2011S005752,Col.lisió lateral
527,2011S000097,Col.lisió fronto-lateral
528,2011S004078,Xoc contra element estàtic
529,2011S000800,Xoc contra element estàtic
530,2011S003202,Atropellament
531,2011S005051,Atropellament
532,2011S000550,Atropellament
533,2011S007363,Abast
534,2011S002093,Col.lisió fronto-lateral
535,2011S006153,Altres
536,2011S000352,Col.lisió lateral
537,2011S007292,Xoc contra element estàtic
538,2011S005877,Col.lisió fronto-lateral
539,2011S006388,Atropellament
540,2011S005003,Abast
541,2011S005310,Atropellament
542,2011S000918,Col.lisió lateral
543,2011S008183,Caiguda (dues rodes)
544,2011S003436,Col.lisió fronto-lateral
545,2011S004621,Col.lisió fronto-lateral
546,2011S008445,Abast
547,2011S005498,Caiguda interior vehicle
548,2011S001835,Col.lisió fronto-lateral
549,2011S001676,Col.lisió lateral
550,2011S005693,Abast
551,2011S006969,Col.lisió fronto-lateral
552,2011S007157,Abast
553,2011S007036,Xoc contra element estàtic
554,2011S004457,Atropellament
555,2011S002675,Caiguda (dues rodes)
556,2011S004776,Caiguda (dues rodes)
557,2011S007631,Abast
558,2011S008227,Xoc contra element estàtic
559,2011S008656,Col.lisió fronto-lateral
560,2011S000868,Col.lisió lateral
561,2011S005622,Col.lisió lateral
562,2011S003598,Col.lisió lateral
563,2011S000424,Abast multiple
564,2011S000424,Col.lisió lateral
565,2011S008112,Abast multiple
566,2011S006451,Abast multiple
567,2011S008057,Abast
568,2011S000765,Bolcada (més de dues rodes)
569,2011S004038,Col.lisió fronto-lateral
570,2011S005846,Abast
571,2011S005755,Xoc contra element estàtic
572,2011S003820,Caiguda (dues rodes)
573,2011S002385,Atropellament
574,2011S007135,Atropellament
575,2011S008708,Caiguda (dues rodes)
576,2011S002333,Xoc contra element estàtic
577,2011S003783,Abast multiple
578,2011S003980,Col.lisió fronto-lateral
579,2011S008766,Col.lisió fronto-lateral
580,2011S005508,Abast
581,2011S008330,Caiguda (dues rodes)
582,2011S001255,Col.lisió lateral
583,2011S003244,Col.lisió lateral
584,2011S003351,Col.lisió fronto-lateral
585,2011S000236,Atropellament
586,2011S003873,Col.lisió fronto-lateral
587,2011S005719,Xoc contra element estàtic
588,2011S002809,Abast
