"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
2015S006608,1,"Ciutat Vella",2,"el Barri Gòtic",96804,Dagueria,"0003 0003",Dimecres,Dc,Laboral,2015,9,Setembre,2,12,"No és causa del  vianant",Bicicleta,Dona,Vianant,73,"Ferit lleu","4581850,02","431357,05"
2015S002299,1,"Ciutat Vella",2,"el Barri Gòtic",144204,Ample,"0040 0040",Dimecres,Dc,Laboral,2015,3,Març,25,11,"No és causa del  vianant",Motocicleta,Home,Conductor,32,"Ferit lleu","4581559,44","431553,33"
2015S002533,1,"Ciutat Vella",2,"el Barri Gòtic",144204,Ample,"0042 0042",Dissabte,Ds,Laboral,2015,4,Abril,4,10,"No és causa del  vianant",Bicicleta,Dona,Vianant,26,"Ferit lleu","4581566,77","431556,55"
2015S008523,1,"Ciutat Vella",2,"el Barri Gòtic",177101,Laietana,0011B0011B,Dijous,Dj,Laboral,2015,11,Novembre,12,06,"No és causa del  vianant",Motocicleta,Home,Conductor,21,"Ferit lleu","4581803,93","431516,22"
2015S007953,1,"Ciutat Vella",2,"el Barri Gòtic",177101,Laietana,0011B0011B,Dijous,Dj,Laboral,2015,10,Octubre,22,04,"No és causa del  vianant",Motocicleta,Home,Vianant,5,"Ferit lleu","4581803,93","431516,22"
2015S007005,1,"Ciutat Vella",2,"el Barri Gòtic",105100,"Dormitori de Sant Francesc","0002 0002",Dijous,Dj,Laboral,2015,9,Setembre,17,10,"Creuar per fora pas de vianants",Motocicleta,Home,Vianant,59,"Ferit lleu","4581219,18","431412,58"
2015S009927,1,"Ciutat Vella",2,"el Barri Gòtic",169307,"Josep Anselm Clavé","0004 0004",Dimarts,Dm,Laboral,2015,12,Desembre,29,11,"No és causa del  vianant",Bicicleta,Home,Conductor,24,"Ferit lleu","4581226,52","431383,78"
2015S001223,1,"Ciutat Vella",2,"el Barri Gòtic",278700,Rellotge,"0003 0003",Dissabte,Ds,Laboral,2015,2,Febrer,14,09,"No és causa del  vianant",Motocicleta,Home,Conductor,22,"Ferit lleu","4581486,21","431295,39"
2015S003666,1,"Ciutat Vella",2,"el Barri Gòtic",25908,Traginers,"0000 0000",Dimecres,Dc,Laboral,2015,5,Maig,13,06,"Desobeir el senyal del semàfor",Turismo,Home,Vianant,32,"Ferit lleu","4581721,41","431508,84"
2015S004360,1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Litoral (Llobregat)",001020000,Dissabte,Ds,Laboral,2015,6,Juny,6,01,"No és causa del  vianant",Taxi,Home,Conductor,35,"Ferit lleu","4581498,83","431680,73"
2015S007978,1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Litoral (Llobregat)",001040000,Divendres,Dv,Laboral,2015,10,Octubre,23,03,"No és causa del  vianant",Motocicleta,Home,Conductor,22,"Ferit lleu","4581329,72","431572,69"
2015S002887,1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Litoral (Llobregat)",001080000,Divendres,Dv,Laboral,2015,4,Abril,17,06,"No és causa del  vianant",Motocicleta,Home,Conductor,35,"Ferit lleu","4580981,67","431372,26"
2015S009839,1,"Ciutat Vella",2,"el Barri Gòtic",701497,"B-10 (Llobregat)",001020000,Divendres,Dv,Laboral,2015,12,Desembre,25,01,"No és causa del  vianant",Motocicleta,Home,Conductor,33,"Ferit lleu","4581498,83","431680,73"
2015S006579,1,"Ciutat Vella",2,"el Barri Gòtic",701497,"B-10 (Llobregat)",001030000,Dimarts,Dm,Laboral,2015,9,Setembre,1,03,"No és causa del  vianant",Turismo,Home,Conductor,25,"Ferit lleu","4581413,57","431627,70"
2015S003099,1,"Ciutat Vella",2,"el Barri Gòtic",701497,"B-10 (Llobregat)",001050000,Divendres,Dv,Laboral,2015,4,Abril,24,07,"No és causa del  vianant",Motocicleta,Home,Conductor,41,"Ferit lleu","4581243,79","431520,59"
2015S009450,1,"Ciutat Vella",2,"el Barri Gòtic",82901,Colom,"0007 0007",Dissabte,Ds,Laboral,2015,12,Desembre,12,04,"Desobeir el senyal del semàfor",Motocicleta,Home,Vianant,78,"Ferit lleu","4581515,79","431614,44"
2015S005370,1,"Ciutat Vella",3,"la Barceloneta",132908,"Ramon Trias Fargas","0004 0004",Diumenge,Dg,Laboral,2015,7,Juliol,12,01,"No és causa del  vianant",Motocicleta,Home,Conductor,23,"Ferit lleu","4582123,24","432917,61"
2015S004196,1,"Ciutat Vella",3,"la Barceloneta",224904,"Joan Borbó Comte Barcelona","0079 0079",Dissabte,Ds,Laboral,2015,5,Maig,30,07,"No és causa del  vianant",Bicicleta,Home,Conductor,34,"Ferit lleu","4580704,20","432205,36"
