"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2013S001540    ",6,Gràcia,31,"la Vila de Gràcia",31300,Bailèn,"0205 0205",Dimecres,Dc,Laboral,2013,2,Febrer,27,Tarda,15,"No és causa del  vianant",Motocicleta,Home,Conductor,61,"Ferit lleu","4583930,89","430184,96"
"2013S002031    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",701266,"Litoral (Llobregat)",000640000,Dilluns,Dl,Laboral,2013,3,Març,18,Tarda,18,"No és causa del  vianant",Motocicleta,Home,Conductor,32,"Ferit lleu","4584049,57","434443,92"
"2013S002037    ",1,"Ciutat Vella",2,"el Barri Gòtic",701265,"Litoral (Besòs)",001040000,Dilluns,Dl,Laboral,2013,3,Març,18,Tarda,16,"No és causa del  vianant",Motocicleta,Home,Conductor,32,"Ferit lleu","4581321,69","431585,19"
"2013S002041    ",2,Eixample,10,"Sant Antoni",198804,Paral·lel,"0186 0186",Dilluns,Dl,Laboral,2013,3,Març,18,Tarda,21,"No és causa del  vianant",Autobús,Dona,Passatger,55,"Ferit lleu","4580958,79","429295,25"
"2013S002051    ",2,Eixample,5,"el Fort Pienc",169409,"Corts Catalanes","0707 0707",Dimarts,Dm,Laboral,2013,3,Març,19,Matí,11,"No és causa del  vianant",Motocicleta,Home,Passatger,23,"Ferit lleu","4583423,63","431422,94"
"2013S002516    ",2,Eixample,7,"la Dreta de l'Eixample",148307,Gràcia,"0068 0072",Dilluns,Dl,Laboral,2013,4,Abril,8,Tarda,14,"No és causa del  vianant",Ciclomotor,Dona,Conductor,36,"Ferit lleu","4582978,24","430188,51"
"2013S002520    ",10,"Sant Martí",72,"Sant Martí de Provençals",342503,Treball,"0241 0241",Dilluns,Dl,Laboral,2013,4,Abril,8,Tarda,17,"No és causa del  vianant",Motocicleta,Dona,Conductor,24,"Ferit lleu","4585685,86","433143,34"
"2013S002521    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",38706,Benedetti,"0002 0002",Dilluns,Dl,Laboral,2013,4,Abril,8,Tarda,17,"No és causa del  vianant",Turismo,Dona,Passatger,56,"Ferit lleu","4584660,17","426833,76"
"2013S001019    ",5,"Sarrià-Sant Gervasi",23,Sarrià,320908,"Sarrià a Vallvidrera","0113 0113",Dissabte,Ds,Laboral,2013,2,Febrer,9,Nit,22,"No és causa del  vianant",Motocicleta,Home,Conductor,41,"Ferit lleu","4584548,47","425915,48"
"2013S001026    ",9,"Sant Andreu",57,"la Trinitat Vella",701267,"Dalt (Besòs)",001600000,Diumenge,Dg,Laboral,2013,2,Febrer,10,Matí,11,"No és causa del  vianant",Turismo,Home,Conductor,22,"Ferit lleu","4588934,51","432708,20"
"2013S001030    ",10,"Sant Martí",73,"la Verneda i la Pau",169409,"Corts Catalanes","1143 1145",Diumenge,Dg,Laboral,2013,2,Febrer,10,Tarda,18,"No és causa del  vianant",Turismo,Dona,Passatger,22,"Ferit lleu","4585796,81","433828,73"
"2013S001048    ",2,Eixample,10,"Sant Antoni",349706,"Comte d'Urgell","0014 0014",Dilluns,Dl,Laboral,2013,2,Febrer,11,Matí,12,"No és causa del  vianant",Motocicleta,Home,Conductor,39,"Ferit lleu","4581457,63","430022,32"
"2013S001547    ",2,Eixample,7,"la Dreta de l'Eixample",90502,Còrsega,"0354 0354",Dimecres,Dc,Laboral,2013,2,Febrer,27,Nit,22,"No és causa del  vianant",Motocicleta,Home,Conductor,42,"Ferit lleu","4583503,35","430017,67"
"2013S001577    ",2,Eixample,9,"la Nova Esquerra de l'Eixample",285807,Rocafort,"0208 0208",Dijous,Dj,Laboral,2013,2,Febrer,28,Tarda,20,"No és causa del  vianant",Motocicleta,Home,Conductor,39,"Ferit lleu","4582020,77","428717,91"
"2013S002078    ",6,Gràcia,31,"la Vila de Gràcia",208001,"Torrent de l'Olla","0199 0199",Dimecres,Dc,Laboral,2013,3,Març,20,Matí,07,"No és causa del  vianant",Motocicleta,Home,Conductor,30,"Ferit lleu","4584407,69","429253,15"
"2013S002080    ",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",44800,Bonanova,"0009 0009",Dimecres,Dc,Laboral,2013,3,Març,20,Matí,08,"No és causa del  vianant",Motocicleta,Dona,Conductor,17,"Ferit lleu","4584404,48","427674,17"
"2013S002567    ",7,Horta-Guinardó,40,Montbau,701267,"Dalt (Besòs)",001090000,Dimecres,Dc,Laboral,2013,4,Abril,10,Tarda,15,"No és causa del  vianant",Furgoneta,Home,Conductor,33,"Ferit lleu","4586744,68","428509,16"
"2013S001066    ",8,"Nou Barris",45,Porta,366501,"Virrei Amat","0008 0008",Dilluns,Dl,Laboral,2013,2,Febrer,11,Tarda,20,"No és causa del  vianant",Autobús,Dona,Passatger,81,"Ferit lleu","4587079,12","431156,95"
