"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X","Coordenada_UTM_Y","Latitud","Longitud"
"2020S002764    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0650 0650","Dijous","Dj","Laboral",2020,6,"Juny",25,16,"Tarda","No és causa del  vianant","Turisme","TOYOTA PRIUS","TOYOTA","Negre/Groc","B",41,"430729.86","4582658.46","41.390628772","2.17031798"
"2020S002765    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0023 0023","Dijous","Dj","Laboral",2020,6,"Juny",25,17,"Tarda","No és causa del  vianant","Furgoneta","FIORINO","FIAT","Blanc","B",12,"431626.71","4585270.64","41.414232675","2.18074915"
"2020S002765    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0023 0023","Dijous","Dj","Laboral",2020,6,"Juny",25,17,"Tarda","No és causa del  vianant","Motocicleta","MTN690-U  (MT-07)","YAMAHA","Gris","A2",2,"431626.71","4585270.64","41.414232675","2.18074915"
"2020S002766    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes","0814 0814","Dijous","Dj","Laboral",2020,6,"Juny",25,16,"Tarda","No és causa del  vianant","Ciclomotor","LIBERTY 50 2T","PIAGGIO","Blanc","AM",10,"431857.14","4583752.58","41.400579551","2.18367714"
"2020S002766    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes","0814 0814","Dijous","Dj","Laboral",2020,6,"Juny",25,16,"Tarda","No és causa del  vianant","Turisme","TOLEDO","SEAT","Negre/Groc","B",4,"431857.14","4583752.58","41.400579551","2.18367714"
"2020S002767    ",7,"Horta-Guinardó",40,"Montbau",148409,"Sant Cugat",420000,"Dijous","Dj","Laboral",2020,6,"Juny",25,14,"Tarda","No és causa del  vianant","Motocicleta","CBR650RA","HONDA","Desconegut","A2",1,"427575.53","4587285.65","41.4320259","2.13203814"
"2020S002768    ",7,"Horta-Guinardó",37,"el Carmel",275304,"Ramon Rocafull","0064 0064","Dijous","Dj","Laboral",2020,6,"Juny",25,20,"Tarda","No és causa del  vianant","Turisme","MEGANE","RENAULT","Desconegut","B",8,"429371.24","4586275.62","41.423088974","2.15364650"
"2020S002768    ",7,"Horta-Guinardó",37,"el Carmel",275304,"Ramon Rocafull","0064 0064","Dijous","Dj","Laboral",2020,6,"Juny",25,20,"Tarda","No és causa del  vianant","Turisme","I 30","HYUNDAI","Gris","B",38,"429371.24","4586275.62","41.423088974","2.15364650"
"2020S002769    ",1,"Ciutat Vella",2,"el Barri Gòtic",122904,"Ferran","0017 0017","Divendres","Dv","Laboral",2020,6,"Juny",26,4,"Nit","No és causa del  vianant","Furgoneta","VITO FURGÓN 111 CDI","MERCEDES-BENZ","Blanc","B",20,"431103.45","4581583.92","41.380982806","2.17490840"
"2020S002769    ",1,"Ciutat Vella",2,"el Barri Gòtic",122904,"Ferran","0017 0017","Divendres","Dv","Laboral",2020,6,"Juny",26,4,"Nit","No és causa del  vianant","Turisme","TOYOTA PRIUS PLUS","TOYOTA","Desconegut","Desconegut","Desconegut","431103.45","4581583.92","41.380982806","2.17490840"
