"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ tipus accident","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S001899,2,Eixample,6,"la Sagrada Fam°lia",350308,Valäncia,"0503 0503",Dimecres,Dc,Laboral,2013,3,Mará,13,16,Tarda,"Col.lisi¢ lateral","4584260,23","431528,42"
2013S002752,2,Eixample,6,"la Sagrada Fam°lia",350308,Valäncia,"0503 0503",Dimecres,Dc,Laboral,2013,4,Abril,17,14,Tarda,"Caiguda (dues rodes)","4584260,23","431528,42"
2013S007033,2,Eixample,6,"la Sagrada Fam°lia",73900,Castillejos,"0215 0217",Divendres,Dv,Laboral,2013,10,Octubre,4,16,Tarda,"Col.lisi¢ lateral","4584103,56","431700,82"
2013S003131,2,Eixample,6,"la Sagrada Fam°lia",197302,Marina,0211X0211X,Dimarts,Dm,Laboral,2013,4,Abril,30,16,Tarda,Atropellament,"4583871,82","431387,39"
2013S007372,2,Eixample,7,"la Dreta de l'Eixample",100800,Diputaci¢,"0232 0232",Dijous,Dj,Laboral,2013,10,Octubre,17,13,Mat°,"Col.lisi¢ fronto-lateral","4582396,71","430233,49"
2013S006925,2,Eixample,7,"la Dreta de l'Eixample",191204,Mallorca,"0279 0279",Dilluns,Dl,Laboral,2013,9,Setembre,30,21,Tarda,"Col.lisi¢ lateral","4583179,96","430231,57"
2013S003895,2,Eixample,7,"la Dreta de l'Eixample",18505,Arag¢,"0259 0259",Dijous,Dj,Laboral,2013,5,Maig,30,10,Mat°,Abast,"4582788,4","430208,49"
2013S002604,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0065 0065",Dijous,Dj,Laboral,2013,4,Abril,11,16,Tarda,Altres,"4582944,96","430133,41"
2013S002378,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0073 0073",Dimarts,Dm,Laboral,2013,4,Abril,2,17,Tarda,"Col.lisi¢ lateral","4582989,29","430093,32"
2013S005686,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0075 0075",Diumenge,Dg,Laboral,2013,8,Agost,4,15,Tarda,"Col.lisi¢ lateral","4583030,02","430055,88"
2013S005008,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0075 0075",Dimecres,Dc,Laboral,2013,7,Juliol,10,9,Mat°,"Col.lisi¢ lateral","4583030,02","430055,88"
2013S003120,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0087 0087",Dimarts,Dm,Laboral,2013,4,Abril,30,11,Mat°,Atropellament,"4583088,81","430002,08"
2013S007469,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0013 0013",Dilluns,Dl,Laboral,2013,10,Octubre,21,12,Mat°,"Col.lisi¢ lateral","4582538,15","430505,05"
2013S008063,2,Eixample,7,"la Dreta de l'Eixample",148307,GrÖcia,"0045 0045",Dimarts,Dm,Laboral,2013,11,Novembre,12,12,Mat°,"Col.lisi¢ lateral","4582787,3","430276,67"
