"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2021-01-06,"07:01:00","X8","HRX",84
2021-01-06,"13:57:00","X8","HRN",50
2021-01-06,NA,"X8","PM",1004.3
2021-01-06,"21:01:00","X8","PX",1006.3
2021-01-06,"00:07:00","X8","PN",1002.3
2021-01-06,NA,"X8","PPT",0
2021-01-06,NA,"X8","RS24h",9.3
2021-01-06,NA,"X8","VVM10",1.1
2021-01-06,NA,"X8","DVM10",273
2021-01-06,"21:00:00","X8","VVX10",5.4
2021-01-06,"21:00:00","X8","DVVX10",319
2021-01-07,NA,"D5","TM",3
2021-01-07,"14:00:00","D5","TX",4.8
2021-01-07,"23:40:00","D5","TN",1.6
2021-01-07,NA,"D5","HRM",79
2021-01-07,"04:33:00","D5","HRX",96
2021-01-07,"23:08:00","D5","HRN",66
2021-01-07,NA,"D5","PM",964.3
2021-01-07,"00:01:00","D5","PX",965.5
2021-01-07,"14:08:00","D5","PN",962.4
2021-01-07,NA,"D5","PPT",0.3
2021-01-07,NA,"D5","RS24h",3.5
2021-01-07,NA,"D5","VVM10",3.8
2021-01-07,NA,"D5","DVM10",34
2021-01-07,"22:41:00","D5","VVX10",9.2
2021-01-07,"22:41:00","D5","DVVX10",336
2021-01-07,NA,"X2","TM",6.1
2021-01-07,"14:01:00","X2","TX",7.9
2021-01-07,"07:16:00","X2","TN",4.4
2021-01-07,NA,"X2","HRM",70
2021-01-07,"04:30:00","X2","HRX",93
2021-01-07,"12:38:00","X2","HRN",53
2021-01-07,NA,"X4","TM",6.5
2021-01-07,"15:00:00","X4","TX",7.7
2021-01-07,"07:42:00","X4","TN",5.2
2021-01-07,NA,"X4","HRM",64
2021-01-07,"04:41:00","X4","HRX",84
2021-01-07,"12:45:00","X4","HRN",52
2021-01-07,NA,"X4","PM",1009.8
2021-01-07,"09:00:00","X4","PX",1011
2021-01-07,"14:10:00","X4","PN",1007.7
2021-01-07,NA,"X4","PPT",1.6
2021-01-07,NA,"X4","RS24h",3.3
2021-01-07,NA,"X4","VVM10",1.5
2021-01-07,NA,"X4","DVM10",28
2021-01-07,"12:00:00","X4","VVX10",5.7
2021-01-07,"12:00:00","X4","DVVX10",96
2021-01-07,NA,"X8","TM",5.9
2021-01-07,"11:59:00","X8","TX",7.4
2021-01-07,"23:42:00","X8","TN",3.7
2021-01-07,NA,"X8","HRM",67
2021-01-07,"04:44:00","X8","HRX",89
2021-01-07,"13:27:00","X8","HRN",56
2021-01-07,NA,"X8","PM",1004.1
2021-01-07,"10:01:00","X8","PX",1005.2
2021-01-07,"14:06:00","X8","PN",1002.1
2021-01-07,NA,"X8","PPT",0.3
2021-01-07,NA,"X8","RS24h",3.3
2021-01-07,NA,"X8","VVM10",1.9
2021-01-07,NA,"X8","DVM10",37
2021-01-07,"21:35:00","X8","VVX10",7.7
2021-01-07,"21:35:00","X8","DVVX10",309
2021-01-08,NA,"D5","TM",2.3
2021-01-08,"14:05:00","D5","TX",4.9
2021-01-08,"05:50:00","D5","TN",-0.4
2021-01-08,NA,"D5","HRM",67
2021-01-08,"07:48:00","D5","HRX",82
2021-01-08,"22:48:00","D5","HRN",46
2021-01-08,NA,"D5","PM",963.2
2021-01-08,"10:44:00","D5","PX",965
2021-01-08,"23:58:00","D5","PN",959.9
2021-01-08,NA,"D5","PPT",0
2021-01-08,NA,"D5","RS24h",6
2021-01-08,NA,"D5","VVM10",3.6
2021-01-08,NA,"D5","DVM10",7
2021-01-08,"23:58:00","D5","VVX10",13.9
2021-01-08,"23:58:00","D5","DVVX10",27
2021-01-08,NA,"X2","TM",5.5
2021-01-08,"13:36:00","X2","TX",7.9
2021-01-08,"07:30:00","X2","TN",1.8
2021-01-08,NA,"X2","HRM",58
2021-01-08,"07:34:00","X2","HRX",81
2021-01-08,"23:08:00","X2","HRN",36
2021-01-08,NA,"X4","TM",6
2021-01-08,"13:03:00","X4","TX",8.3
2021-01-08,"07:28:00","X4","TN",3.7
2021-01-08,NA,"X4","HRM",53
2021-01-08,"07:56:00","X4","HRX",67
2021-01-08,"23:00:00","X4","HRN",35
2021-01-08,NA,"X4","PM",1008.7
2021-01-08,"10:43:00","X4","PX",1010.9
2021-01-08,"23:59:00","X4","PN",1005.7
2021-01-08,NA,"X4","PPT",0
2021-01-08,NA,"X4","RS24h",5.5
2021-01-08,NA,"X4","VVM10",1.3
2021-01-08,NA,"X4","DVM10",9
2021-01-08,"23:17:00","X4","VVX10",8.6
2021-01-08,"23:17:00","X4","DVVX10",59
2021-01-08,NA,"X8","TM",4.8
2021-01-08,"13:27:00","X8","TX",8.1
2021-01-08,"06:12:00","X8","TN",0.8
2021-01-08,NA,"X8","HRM",59
2021-01-08,"08:06:00","X8","HRX",79
2021-01-08,"23:03:00","X8","HRN",36
2021-01-08,NA,"X8","PM",1003
2021-01-08,"10:42:00","X8","PX",1005
2021-01-08,"23:58:00","X8","PN",1000
2021-01-08,NA,"X8","PPT",0
2021-01-08,NA,"X8","RS24h",5.5
2021-01-08,NA,"X8","VVM10",1.7
2021-01-08,NA,"X8","DVM10",359
2021-01-08,"23:15:00","X8","VVX10",8.2
2021-01-08,"23:15:00","X8","DVVX10",23
2021-01-09,NA,"D5","TM",3.1
2021-01-09,"18:32:00","D5","TX",4.1
2021-01-09,"03:17:00","D5","TN",0.6
2021-01-09,NA,"D5","HRM",88
2021-01-09,"09:43:00","D5","HRX",97
2021-01-09,"00:44:00","D5","HRN",54
2021-01-09,NA,"D5","PM",957.3
2021-01-09,"00:00:00","D5","PX",960.2
2021-01-09,"13:54:00","D5","PN",954.8
2021-01-09,NA,"D5","PPT",13.1
2021-01-09,NA,"D5","RS24h",1.4
2021-01-09,NA,"D5","VVM10",11.3
2021-01-09,NA,"D5","DVM10",51
2021-01-09,"23:38:00","D5","VVX10",21.8
2021-01-09,"23:38:00","D5","DVVX10",40
2021-01-09,NA,"X2","TM",6.9
2021-01-09,"20:11:00","X2","TX",8.3
2021-01-09,"03:16:00","X2","TN",4.4
2021-01-09,NA,"X2","HRM",72
2021-01-09,"09:23:00","X2","HRX",87
2021-01-09,"01:02:00","X2","HRN",42
2021-01-09,NA,"X4","TM",6.8
2021-01-09,"20:05:00","X4","TX",8.1
2021-01-09,"03:31:00","X4","TN",4.4
2021-01-09,NA,"X4","HRM",72
2021-01-09,"09:30:00","X4","HRX",96
2021-01-09,"00:48:00","X4","HRN",41
